Item,Start Date ,Start Time,End Date,End Time,Component,Description,"Duration of Downtime
(hours - hh:mm)",,,,
,27-May,8:14,27-May,8:15,MB5,Insulation failure,0:01:00,,,,
,2-Jun,7:53,2-Jun,8:22,MB1,Insulation failure,0:29:00,,,,
,2-Jun,19:04,2-Jun,19:11,MB1,Insulation failure,0:07:00,,,,
,3-Jun,7:52,3-Jun,7:57,MC2,Insulation failure,0:05:00,,,,
,4-Jun,9:13,4-Jun,9:42,MB6,Insulation failure,0:29:00,,,,
,4-Jun,16:00,4-Jun,16:01,MB4,Insulation failure,0:01:00,,,,
,4-Jun,16:03,4-Jun,16:10,MB1,Insulation failure,0:07:00,,,,
,4-Jun,18:49,4-Jun,18:52,MB6,Insulation failure,0:03:00,,,,
,4-Jun,18:55,4-Jun,19:23,MB6,Insulation failure,0:28:00,,,,
,5-Jun,7:15,5-Jun,7:42,MB6,Insulation failure,0:27:00,,,,
,5-Jun,7:25,5-Jun,7:42,MB1,Insulation failure,0:17:00,,,,
,5-Jun,7:47,5-Jun,7:49,MB6,Insulation failure,0:02:00,,,,
,5-Jun,7:48,5-Jun,7:50,MB4,Insulation failure,0:02:00,,,,
,5-Jun,8:36,5-Jun,8:45,MB6,Insulation failure,0:09:00,,,,
,6-Jun,7:11,6-Jun,7:32,MB6,Insulation failure,0:21:00,,,,
,6-Jun,7:42,6-Jun,8:11,MB1,Insulation failure,0:29:00,,,,
,6-Jun,14:12,6-Jun,14:20,MB3,Insulation failure,0:08:00,,,,
,6-Jun,14:14,6-Jun,14:39,MA6,Insulation failure,0:25:00,,,,
,6-Jun,14:26,6-Jun,14:28,MA4,Insulation failure,0:02:00,,,,
,6-Jun,14:29,6-Jun,14:31,MC2,Insulation failure,0:02:00,,,,
,6-Jun,14:33,6-Jun,14:35,MC2,Insulation failure,0:02:00,,,,
,6-Jun,14:39,6-Jun,14:58,MD5,Insulation failure,0:19:00,,,,
